Year,Country,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Government Corruption,Generosity,Happiness Score
2019,Finland,1.34,1.587,0.986,0.596,0.393,0.153,7.769
2019,Denmark,1.383,1.573,0.996,0.592,0.41,0.252,7.6
2019,Norway,1.488,1.582,1.028,0.603,0.341,0.271,7.554
2019,Iceland,1.38,1.624,1.026,0.591,0.118,0.354,7.494
2019,Netherlands,1.396,1.522,0.999,0.557,0.298,0.322,7.488
2019,Switzerland,1.452,1.526,1.052,0.572,0.343,0.263,7.48
2019,Sweden,1.387,1.487,1.009,0.574,0.373,0.267,7.343
2019,New Zealand,1.303,1.557,1.026,0.585,0.38,0.33,7.307
2019,Canada,1.365,1.505,1.039,0.584,0.308,0.285,7.278
2019,Austria,1.376,1.475,1.016,0.532,0.226,0.244,7.246
2019,Australia,1.372,1.548,1.036,0.557,0.29,0.332,7.228
2019,Costa Rica,1.034,1.441,0.963,0.558,0.093,0.144,7.167
2019,Israel,1.276,1.455,1.029,0.371,0.082,0.261,7.139
2019,Luxembourg,1.609,1.479,1.012,0.526,0.316,0.194,7.09
2019,United Kingdom,1.333,1.538,0.996,0.45,0.278,0.348,7.054
2019,Ireland,1.499,1.553,0.999,0.516,0.31,0.298,7.021
2019,Germany,1.373,1.454,0.987,0.495,0.265,0.261,6.985
2019,Belgium,1.356,1.504,0.986,0.473,0.21,0.16,6.923
2019,United States,1.433,1.457,0.874,0.454,0.128,0.28,6.892
2019,Czech Republic,1.269,1.487,0.92,0.457,0.036,0.046,6.852
2019,United Arab Emirates,1.503,1.31,0.825,0.598,0.182,0.262,6.825
2019,Malta,1.3,1.52,0.999,0.564,0.151,0.375,6.726
2019,Mexico,1.07,1.323,0.861,0.433,0.073,0.074,6.595
2019,France,1.324,1.472,1.045,0.436,0.183,0.111,6.592
2019,Taiwan,1.368,1.43,0.914,0.351,0.097,0.242,6.446
2019,Chile,1.159,1.369,0.92,0.357,0.056,0.187,6.444
2019,Guatemala,0.8,1.269,0.746,0.535,0.078,0.175,6.436
2019,Saudi Arabia,1.403,1.357,0.795,0.439,0.132,0.08,6.375
2019,Qatar,1.684,1.313,0.871,0.555,0.167,0.22,6.374
2019,Spain,1.286,1.484,1.062,0.362,0.079,0.153,6.354
2019,Panama,1.149,1.442,0.91,0.516,0.054,0.109,6.321
2019,Brazil,1.004,1.439,0.802,0.39,0.086,0.099,6.3
2019,Uruguay,1.124,1.465,0.891,0.523,0.15,0.127,6.293
